구,화재건수,30년이상_건물수,전체건물수,total_damage_area_m2,area_m2,damage_ratio,old_ratio,log_old_ratio,log_damage_ratio
강남구,2024,63192,4468163192,1557,39500000.0,3.4846533868497074e-07,0.0014142724266011993,-6.561139359196428,-14.86686145419642
송파구,1691,57744,5207457744,696,33870000.0,1.3365446907407493e-07,0.0011088712158352561,-6.804411801927932,-15.820553827938253
영등포구,1366,36301,3545436301,3484,24550000.0,9.826717233693715e-07,0.0010238796277276566,-6.884155333644864,-13.831973610017863
마포구,1334,27730,4138527730,724,23850000.0,1.749414398632047e-07,0.0006700450452219152,-7.308164123728849,-15.553114625324492
관악구,1304,36564,4773436564,361,29570000.0,7.562685607316264e-08,0.0007659890209028029,-7.1743414158505745,-16.384318220168883
강서구,1246,50079,6749050079,829,41440000.0,1.2283210085808582e-07,0.0007420155342427117,-7.206139031699191,-15.904339214200025
서초구,1179,30261,3284830261,845,46980000.0,2.5724312456338517e-07,0.00092123481567013,-6.989794511409513,-15.169364352482537
서대문구,1092,27285,3431327285,262,17630000.0,7.635529293440745e-08,0.0007951733464562241,-7.1369491636349665,-16.374856833898605
성북구,1031,28653,4565028653,864,24580000.0,1.8926496757741162e-07,0.0006276630921291175,-7.373505419742883,-15.474848170093347
은평구,1008,34091,3744634091,651,29710000.0,1.7384876176944467e-07,0.0009103960272630013,-7.0016297599061925,-15.55934445513528
종로구,998,16715,1723016715,2039,23910000.0,1.1833895645057628e-06,0.0009701008617319189,-6.938109479885468,-13.646283051543199
강동구,982,27918,3394027918,797,24590000.0,2.3482423222660128e-07,0.0008225624736891159,-7.103084906643827,-15.260179088107085
성동구,966,20927,3650520927,549,16860000.0,1.5038949535653491e-07,0.0005732606501504929,-7.464168313448917,-15.703409881728438
중랑구,956,27455,3937227455,294,18500000.0,7.467183528516769e-08,0.0006973181080796867,-7.26826742115896,-16.396859802732493
구로구,955,33917,5267333917,872,20120000.0,1.655486463817441e-07,0.0006439120916662402,-7.347946791795422,-15.607978399738464
광진구,952,24609,3086224609,793,17060000.0,2.569482459855533e-07,0.0007973820158207415,-7.134175422691133,-15.170506869102274
용산구,940,25977,2462825977,368,21870000.0,1.494218444326568e-07,0.0010547639273986754,-6.854437354513231,-15.709822193738894
강북구,886,37367,3070837367,814,23600000.0,2.650742786796368e-07,0.0012168342225334138,-6.711501870582938,-15.139490323989296
노원구,884,102177,66649102177,907,35440000.0,1.3608585417869252e-08,0.00015330589109609997,-8.783068821393607,-18.041656438741445
금천구,879,18537,2390918537,1178,13020000.0,4.926976732039114e-07,0.0007753087239542366,-7.162247964635327,-14.52134250466837
중구,856,9793,164599793,859,9960000.0,5.2187185921916685e-06,0.005949582208769849,-5.124434110824384,-12.163067067064725
동작구,822,33110,3532933110,406,16350000.000000002,1.1491867730266764e-07,0.0009371816269683068,-6.972632388668148,-15.970376949431557
도봉구,808,47770,4041947770,227,20650000.0,5.6161042377843494e-08,0.0011818559446650147,-6.740668395524922,-16.677393247909603
양천구,801,54380,4800654380,7038,17410000.0,1.4660501346068576e-06,0.0011327622381347103,-6.783095287762993,-13.432256884467911
동대문구,800,24607,3416024607,7410,14220000.0,2.169188121425028e-06,0.0007203402443172155,-7.235785507792631,-13.040696702268496
